,datetime,order_type,close1_ema33,rsi14,sto533,pos_bb20,sd_pos,profit_in_points,target
87,2016.02.19 05:30:00,1,-0.000347633,49.2483,72.7273,0.754327,-1.5334,-13,0
88,2016.02.19 16:00:00,0,-0.00126301,41.8909,36.1345,-2.29343,-1.7444,-210,0
89,2016.02.19 23:30:00,1,0.00165022,56.6147,89.959,1.60779,0.399195,-86,0
90,2016.02.22 06:30:02,0,-0.000242028,47.5331,28.0677,-0.353881,-0.924172,794,1
91,2016.02.23 08:30:00,1,-0.000246288,51.5676,67.184,2.19323,-0.977209,-53,0
92,2016.02.23 16:00:00,0,-0.000790204,43.2818,49.1309,-0.876953,-0.345221,123,1
93,2016.02.24 00:30:00,1,-0.000143767,50.5278,50.0824,0.528052,-0.459395,-98,0
94,2016.02.24 03:00:00,0,-0.00100704,44.999,20.5342,-0.23888,-1.73034,-98,0
95,2016.02.24 05:00:00,1,7.24E-05,51.4903,72.093,0.822762,-1.37804,-76,0
96,2016.02.24 08:30:00,0,-0.00065365,45.6777,24.8421,-1.15408,-1.40979,-114,0
97,2016.02.24 10:30:00,1,0.000580587,54.6164,72.0896,1.11117,-0.799326,-111,0
98,2016.02.24 13:30:00,0,-0.000495383,46.297,23.4783,-0.894132,-1.24146,-155,0
99,2016.02.24 22:30:00,1,0.00282426,60.6533,70.7692,1.93952,1.04485,-161,0
100,2016.02.25 16:30:00,0,-0.000794554,41.8747,23.4315,-1.6145,-0.0648603,-207,0
101,2016.02.25 19:00:00,1,0.00117617,59.7293,90.4762,1.24525,-0.0590709,-302,0
102,2016.02.25 21:30:00,0,-0.00187089,37.8379,16.1855,-2.25371,3.09508,-292,0
103,2016.02.25 23:30:00,1,0.00094137,54.8563,80.4084,0.827287,1.59096,-131,0
104,2016.02.26 05:00:00,0,-0.000760024,45.5007,5.70749,-0.886622,0.664024,-218,0
105,2016.02.26 07:30:00,1,0.00138324,57.2898,76.3158,1.48056,-3.50112,-129,0
106,2016.02.26 15:30:00,0,-0.00169183,38.9479,31.9176,-1.53906,0.633889,830,1
107,2016.02.29 13:00:00,1,-0.00013494,52.7405,86.9707,1.89069,-0.693567,-282,0
108,2016.02.29 16:30:01,0,-0.0025683,37.7203,4.83619,-1.58953,0.775553,302,1
109,2016.03.01 06:30:04,1,-0.000586129,48.725,58.5366,1.09793,-1.27513,-67,0
110,2016.03.01 08:00:00,0,-0.00106431,43.9818,52.8541,0.390887,-1.05059,-84,0
111,2016.03.01 08:30:00,1,-0.000267584,50.6642,53.0837,1.35128,-0.947227,-83,0
112,2016.03.01 11:30:01,0,-0.000850183,44.0027,36.0697,-0.63621,-1.3833,-55,0
113,2016.03.01 12:30:01,1,-0.000281961,49.4903,48.8064,0.564333,-1.4378,-166,0
114,2016.03.01 14:30:00,0,-0.00177356,35.6322,31.5425,-3.04812,-0.635819,-153,0
115,2016.03.01 20:30:00,1,0.000427923,54.1345,93.3514,0.894591,1.14012,-197,0
116,2016.03.01 21:30:00,0,-0.00142523,42.1741,63.6598,-1.26864,1.0609,-26,0
117,2016.03.02 03:00:00,1,-0.000202759,49.978,91.0079,0.201662,1.18031,-25,0
118,2016.03.02 10:00:00,0,-0.000521494,46.0112,5.74949,-0.465578,-2.48281,-70,0
119,2016.03.02 17:00:00,1,0.000559425,54.8829,58.0482,1.16344,-0.523636,-145,0
120,2016.03.02 18:00:00,0,-0.000843139,44.2998,40.1929,-1.30453,-0.928195,-58,0
121,2016.03.03 01:30:00,1,0.000787088,56.4939,94.9192,0.982088,1.22514,-42,0
122,2016.03.03 11:00:00,0,-0.000565083,42.5635,12.9979,-2.46386,-2.42726,-139,0
123,2016.03.03 15:30:00,1,0.000850042,60.5419,80.1822,1.0746,-0.635893,661,1
124,2016.03.04 10:00:00,0,0.000455909,49.8029,10.6212,-1.67806,-1.40657,-116,0
125,2016.03.04 12:30:00,1,0.00126546,58.1242,79.6296,-0.126407,-1.00212,-134,0
126,2016.03.04 15:30:00,0,-0.000413911,43.95,25.7447,-2.40933,-1.03915,-323,0
127,2016.03.04 16:30:00,1,0.00262795,64.2938,56.5367,3.09553,-0.35684,216,1
128,2016.03.07 06:30:00,0,0.000316847,49.5567,12.605,-0.956826,-1.61185,51,1
129,2016.03.07 23:00:00,1,0.00150644,58.196,71.4286,1.60025,0.045943,268,1
130,2016.03.08 18:30:00,0,-0.000355356,46.1169,33.4642,-1.8315,0.84926,-218,0
131,2016.03.08 21:00:00,1,0.00161976,58.4032,65.4684,1.83142,1.63362,-146,0
132,2016.03.09 01:00:00,0,-0.000517682,46.7768,8.62903,-0.690049,1.64532,114,1
133,2016.03.09 23:00:00,1,0.00280141,64.5984,77.8998,2.8118,1.13711,-176,0
134,2016.03.10 06:30:00,0,-0.000645929,45.0632,8.45411,-0.475644,0.28904,-526,0
135,2016.03.10 22:00:00,1,0.00724352,62.2825,68.2933,1.75539,2.16926,1205,1
136,2016.03.11 14:00:00,0,0.00164296,53.014,35.3271,-1.67066,-0.724297,-10,0
137,2016.03.11 22:30:00,1,0.00340083,60.7214,94.3567,1.33847,0.533171,-251,0
138,2016.03.14 04:30:01,0,-0.000591408,46.0707,18.3888,-0.496379,-2.63704,-272,0
139,2016.03.14 05:30:01,1,0.00201342,58.0212,55.9364,0.916666,-2.74109,-157,0
140,2016.03.14 14:30:00,0,-0.000390035,46.0471,21.2254,-1.25462,-1.15248,406,1
141,2016.03.15 09:00:00,1,3.96E-05,52.6162,73.9336,1.44125,-1.28748,-230,0
142,2016.03.15 14:30:00,0,-0.00203628,33.5565,24.3243,-3.26043,-0.369679,-239,0
143,2016.03.15 15:30:00,1,0.00027458,52.4295,61.7172,0.83174,0.280766,-137,0
144,2016.03.15 16:30:00,0,-0.00102349,44.4748,60.2875,-1.30568,0.773802,-197,0
145,2016.03.15 20:00:00,1,0.0012717,56.8812,87.9326,1.28609,1.47968,-283,0
146,2016.03.15 22:00:00,0,-0.00145135,43.5668,28.0456,-1.10076,1.01594,-241,0
147,2016.03.15 23:00:00,1,0.000918946,54.44,48.3592,1.05478,0.904419,-148,0
148,2016.03.16 08:30:00,0,-0.000836931,43.2509,25.2874,-2.4736,-1.52778,-972,0
149,2016.03.17 01:30:00,1,0.010229,78.2437,87.2308,4.01314,3.89298,1126,1
150,2016.03.18 07:30:00,0,0.000780069,50.8782,39.7015,-1.90275,-0.910596,-108,0
151,2016.03.18 08:00:00,1,0.00174124,57.2369,44.2935,0.245903,-0.857117,-52,0
152,2016.03.18 12:00:00,0,0.000517952,50.4524,10.8209,-0.995544,-0.688229,153,1
153,2016.03.18 22:00:00,1,0.000511851,53.7793,63.2226,0.764809,-0.0906227,-162,0
154,2016.03.18 23:30:00,0,-0.000990893,43.8651,32.2392,-0.143307,-1.40796,14,1
155,2016.03.21 08:30:00,1,-1.25E-05,51.1733,63.6364,0.883833,-2.94577,-73,0
156,2016.03.21 11:00:00,0,-0.000677871,43.5457,24.7283,-0.427053,-1.46867,-104,0
157,2016.03.21 18:00:00,1,0.00133566,61.8148,85.5993,1.39762,1.60084,-177,0
158,2016.03.21 21:30:00,0,-0.00041772,47.7889,38.3929,0.0730109,0.229309,125,1
159,2016.03.22 10:30:00,1,0.000326611,55.1341,87.0707,1.74033,-1.37426,-473,0
160,2016.03.22 15:30:00,0,-0.00421196,27.0092,22.6003,-3.38951,2.94884,-269,0
161,2016.03.22 22:00:00,1,4.37E-06,51.5378,83.4653,0.311289,0.48838,-217,0
162,2016.03.22 23:30:00,0,-0.00196371,39.0745,42.5629,-0.722879,-0.440186,-110,0
163,2016.03.23 07:00:00,1,-0.000117183,50.4849,81.8182,0.31287,-0.97116,-84,0
164,2016.03.23 07:30:00,0,-0.000872643,42.9069,62.0155,-0.905718,-1.07677,305,1
165,2016.03.24 06:00:00,1,-0.000373242,48.4404,79.4118,0.452565,-2.09531,-23,0
166,2016.03.24 06:30:19,0,-0.000567757,46.5298,74.184,0.132941,-2.06044,91,1
167,2016.03.24 23:30:00,1,0.000304146,53.582,74.7761,1.37563,-1.34419,-48,0
168,2016.03.25 07:30:08,0,-0.000646491,43.7001,41.4159,-1.167,-0.919607,-7,0
169,2016.03.25 16:30:04,1,5.36E-05,51.6543,71.3568,1.17456,-2.74879,-15,0
170,2016.03.25 22:00:03,0,-0.000155723,47.8586,62.1622,-0.440841,-1.30212,-14,0
171,2016.03.26 02:30:01,1,6.47E-05,51.7343,66.0819,0.104853,-1.06338,-53,0
172,2016.03.28 04:00:34,0,-0.000374236,43.6199,41.453,-1.52246,-1.39946,-17,0
173,2016.03.28 12:00:00,1,7.42E-05,52.5093,82.0433,0.507327,0.739536,-33,0
174,2016.03.28 18:30:06,0,-0.000417028,43.3435,12.3563,-0.89864,0.548678,-71,0
175,2016.03.28 19:30:00,1,0.00024291,53.5298,46.506,0.613438,-1.15828,215,1
176,2016.03.29 08:30:00,0,-0.000297462,44.3679,19.8675,-2.34192,-1.5063,-124,0
177,2016.03.29 17:30:00,1,0.00111427,59.688,69.0355,1.55814,1.45326,1190,1
178,2016.03.31 01:00:00,0,0.000685138,51.2218,8.04899,-0.424318,-1.151,-142,0
179,2016.03.31 01:30:00,1,0.00197189,57.3031,29.3124,0.690077,-1.07902,-140,0
180,2016.03.31 08:30:00,0,-0.000447076,44.4482,26.8797,-1.56064,-2.21907,-96,0
181,2016.03.31 14:30:00,1,0.0007632,56.85,73.6475,0.774416,-0.634746,496,1
182,2016.04.01 04:30:00,0,0.000812749,54.6618,16.5984,-1.16552,-1.39747,-37,0
183,2016.04.01 08:00:00,1,0.000849906,57.5545,59.7101,0.180713,-1.0652,-48,0
184,2016.04.01 08:30:00,0,0.000385794,51.5406,52.3697,-0.957115,-1.06332,-50,0
185,2016.04.01 13:30:01,1,0.000809089,58.2291,78.803,1.44972,-0.78915,-6,0
186,2016.04.01 21:00:00,0,-0.00066233,45.2511,18.1483,-0.646906,1.32393,-153,0
187,2016.04.02 01:30:00,1,0.00116607,54.0581,68.92,0.239312,0.975483,-107,0
188,2016.04.04 11:00:00,0,-0.000582232,45.032,4.34109,-1.34157,-1.33421,-107,0
